temp,weather,age,sex,height,weight,body_shape,style,label
23,1,24,2,172,49,1,1,1
35,1,39,2,160,63,2,2,8
21,3,25,1,177,69,2,3,3
28,1,38,2,158,62,2,3,4
35,2,37,1,171,52,1,1,5
30,1,23,2,158,57,2,3,4
20,1,62,1,173,83,3,1,6
20,1,64,2,161,61,2,1,1
29,2,36,2,149,45,2,3,4
29,2,49,2,161,55,2,1,7
30,2,46,1,182,77,2,2,15
27,1,64,1,181,80,2,2,8
29,3,22,2,157,68,3,1,7
23,1,35,2,161,39,1,3,3
35,3,57,1,179,76,2,3,10
21,2,40,2,158,71,3,1,1
34,2,48,1,169,89,3,2,15
27,3,41,1,172,67,2,3,10
34,1,26,1,173,57,2,2,8
30,2,27,2,171,50,1,3,4
24,3,26,1,167,61,2,1,6
27,2,42,2,166,57,2,1,7
33,2,50,1,173,69,2,1,5
33,1,52,1,176,71,2,1,5
31,2,49,1,171,86,3,1,5
27,1,33,2,164,53,2,3,4
35,1,51,1,178,55,1,3,10
31,1,61,2,156,50,2,2,13
30,3,44,1,174,78,3,3,10
21,2,45,2,148,40,1,1,1
25,2,31,1,170,55,2,1,6
22,1,30,1,166,59,2,1,6
35,3,51,1,174,82,3,1,5
26,2,42,2,166,59,2,1,1
22,2,21,1,177,69,2,1,6
21,1,43,1,181,66,2,3,3
23,3,54,1,179,75,2,1,6
23,1,25,1,178,81,3,3,3
25,1,50,1,169,73,3,3,3
34,2,46,2,159,64,3,3,4
31,3,39,1,180,60,2,3,10
22,1,48,1,176,85,3,1,6
22,1,28,2,158,52,2,2,11
34,2,53,2,161,59,2,1,7
27,3,62,1,175,71,2,1,5
33,3,27,1,163,71,3,1,5
22,1,26,2,168,48,1,1,1
25,3,24,2,161,57,2,3,3
27,3,30,2,151,55,2,3,4
30,3,35,1,174,68,2,3,10
32,2,37,2,162,47,1,1,7
22,3,27,1,168,65,2,1,6
33,2,47,1,173,83,3,3,10
23,1,34,2,156,50,2,2,16
24,2,51,1,174,77,3,2,11
21,3,25,2,163,55,2,3,3
26,3,33,2,164,48,1,2,12
28,3,64,1,173,84,3,1,5
23,1,48,2,163,50,2,2,12
31,2,44,1,170,63,2,1,5
29,1,65,2,167,61,2,1,7
26,1,37,2,164,55,2,1,1
35,3,34,2,161,55,2,3,10
22,2,62,1,172,67,2,1,6
20,3,36,2,157,54,2,1,1
34,2,31,2,157,71,3,3,4
26,2,36,1,188,80,2,1,6
30,1,41,1,177,72,2,1,5
29,2,37,2,163,54,2,1,7
25,2,55,1,173,72,2,3,3
27,2,62,1,177,69,2,3,10
30,2,20,1,174,62,2,2,13
27,2,55,2,166,57,2,2,13
27,2,28,1,174,73,2,2,15
35,1,26,2,161,56,2,1,7
32,2,34,1,167,85,3,3,10
33,1,44,2,161,51,2,1,7
20,3,24,2,162,64,2,3,9
30,3,22,1,164,84,3,3,10
22,1,29,1,162,81,3,2,16
25,1,44,1,169,84,3,3,3
28,3,52,1,170,66,2,2,17
28,3,55,1,175,95,3,1,5
29,1,27,1,179,56,1,2,8
22,1,54,2,163,55,2,3,9
20,2,35,2,152,40,1,3,9
31,2,28,2,161,49,2,2,15
23,1,20,2,162,53,2,2,11
24,3,50,1,171,83,3,1,6
26,1,54,1,169,92,3,1,6
21,3,30,1,177,58,2,1,6
20,2,60,1,177,87,3,2,16
35,1,54,1,168,52,1,1,5
27,1,24,2,159,51,2,3,4
23,2,30,1,167,59,2,2,11
24,3,32,1,181,57,1,3,3
25,3,48,2,155,40,1,3,9
34,3,54,1,169,69,2,3,10
22,1,53,2,170,47,1,3,9
34,1,62,1,172,62,2,1,5
20,3,43,1,174,55,1,1,6
29,2,51,1,172,88,3,1,5
33,2,52,1,173,81,3,2,15
30,3,48,1,183,63,2,2,17
29,1,39,1,180,90,3,1,5
29,3,25,1,174,68,2,1,5
33,2,30,2,153,47,2,2,13
30,2,43,1,173,74,2,1,5
31,3,25,2,160,42,1,1,7
26,2,47,1,175,83,3,3,3
33,1,27,2,160,52,2,3,10
27,2,33,2,155,69,3,1,7
30,2,37,1,176,89,3,3,10
28,2,33,2,162,56,2,2,15
21,2,47,2,171,59,2,3,3
27,1,37,1,168,77,3,1,5
30,1,30,1,176,72,2,3,10
35,3,65,2,168,45,1,2,14
23,3,56,1,172,81,3,3,3
23,3,40,2,160,51,2,3,9
30,3,51,2,162,69,3,3,10
35,1,30,1,172,87,3,3,10
23,2,52,2,159,40,1,1,1
31,2,56,2,157,55,2,2,15
25,2,32,1,179,66,2,2,11
35,2,63,1,173,87,3,1,5
20,3,54,2,163,57,2,3,3
22,1,22,1,171,81,3,1,6
24,1,39,2,168,63,2,1,1
20,2,20,2,161,55,2,1,1
29,1,25,1,172,68,2,2,8
25,2,21,1,183,60,1,3,3
20,3,57,1,173,56,2,2,11
35,2,27,1,173,61,2,2,13
20,2,42,1,170,67,2,2,16
29,3,38,1,175,63,2,1,5
31,2,65,2,154,44,2,1,7
34,1,56,1,177,88,3,1,5
29,2,24,1,169,55,2,2,15
20,1,20,2,154,55,2,2,11
21,2,57,2,155,69,3,3,3
25,3,41,2,167,49,1,3,9
32,2,22,1,176,74,2,3,10
23,2,64,1,186,67,2,2,16
24,2,44,1,173,84,3,3,3
20,2,38,2,161,57,2,1,1
35,3,65,1,177,67,2,1,5
32,3,54,1,174,61,2,1,5
26,3,38,1,174,69,2,3,3
35,2,33,2,169,63,2,3,4
33,3,51,1,177,53,1,2,17
32,3,33,1,179,68,2,1,5
29,3,27,2,154,43,1,2,17
31,1,41,2,164,64,2,2,14
27,3,50,2,167,60,2,1,7
22,3,26,1,167,62,2,3,3
30,3,35,1,177,53,1,2,8
24,1,26,1,190,76,2,1,6
30,2,25,2,154,48,2,3,10
29,3,30,2,166,60,2,2,17
24,1,64,1,175,70,2,2,11
24,1,33,1,160,73,3,1,6
27,1,37,1,177,72,2,2,8
20,3,33,2,161,63,2,1,1
34,1,47,2,170,62,2,2,8
30,3,23,2,164,76,3,1,7
25,3,39,2,165,52,2,2,11
28,2,21,2,157,44,1,2,13
22,1,33,1,171,85,3,3,3
34,1,29,1,180,80,2,3,10
31,1,22,2,162,55,2,2,2
27,2,40,1,165,69,3,2,13
32,3,58,1,182,77,2,1,5
24,2,58,2,165,55,2,1,1
32,3,28,2,156,49,2,2,2
20,3,43,2,166,64,2,1,1
31,3,65,2,153,44,2,2,13
23,1,45,2,154,46,2,1,1
35,3,54,2,159,62,2,1,7
26,1,58,2,155,52,2,1,1
26,1,37,2,158,51,2,3,3
25,2,24,1,184,67,2,3,3
26,1,43,2,157,75,3,1,1
21,2,38,1,174,63,2,1,6
