temp,weather,age,sex,height,weight,body_shape,style,label
23,sunny,24,female,172,49,thin,business,long_blouse/long_chino
35,sunny,39,female,160,63,normal,casual,short_tee/short_chino
21,rainy,25,male,177,69,normal,sports,long_sports/sweats
28,sunny,38,female,158,62,normal,sports,short_sports/leggings
35,cloudy,37,male,171,52,thin,business,short_shirt/long_chino
30,sunny,23,female,158,57,normal,sports,short_sports/leggings
20,sunny,62,male,173,83,fat,business,long_shirt/long_chino
20,sunny,64,female,161,61,normal,business,long_blouse/long_chino
29,cloudy,36,female,149,45,normal,sports,short_sports/leggings
29,cloudy,49,female,161,55,normal,business,short_blouse/long_chino
30,cloudy,46,male,182,77,normal,casual,short_tee/long_chino
27,sunny,64,male,181,80,normal,casual,short_tee/short_chino
29,rainy,22,female,157,68,fat,business,short_blouse/long_chino
23,sunny,35,female,161,39,thin,sports,long_sports/sweats
35,rainy,57,male,179,76,normal,sports,short_sports/sweats
21,cloudy,40,female,158,71,fat,business,long_blouse/long_chino
34,cloudy,48,male,169,89,fat,casual,short_tee/long_chino
27,rainy,41,male,172,67,normal,sports,short_sports/sweats
34,sunny,26,male,173,57,normal,casual,short_tee/short_chino
30,cloudy,27,female,171,50,thin,sports,short_sports/leggings
24,rainy,26,male,167,61,normal,business,long_shirt/long_chino
27,cloudy,42,female,166,57,normal,business,short_blouse/long_chino
33,cloudy,50,male,173,69,normal,business,short_shirt/long_chino
33,sunny,52,male,176,71,normal,business,short_shirt/long_chino
31,cloudy,49,male,171,86,fat,business,short_shirt/long_chino
27,sunny,33,female,164,53,normal,sports,short_sports/leggings
35,sunny,51,male,178,55,thin,sports,short_sports/sweats
31,sunny,61,female,156,50,normal,casual,short_tee/long_denim
30,rainy,44,male,174,78,fat,sports,short_sports/sweats
21,cloudy,45,female,148,40,thin,business,long_blouse/long_chino
25,cloudy,31,male,170,55,normal,business,long_shirt/long_chino
22,sunny,30,male,166,59,normal,business,long_shirt/long_chino
35,rainy,51,male,174,82,fat,business,short_shirt/long_chino
26,cloudy,42,female,166,59,normal,business,long_blouse/long_chino
22,cloudy,21,male,177,69,normal,business,long_shirt/long_chino
21,sunny,43,male,181,66,normal,sports,long_sports/sweats
23,rainy,54,male,179,75,normal,business,long_shirt/long_chino
23,sunny,25,male,178,81,fat,sports,long_sports/sweats
25,sunny,50,male,169,73,fat,sports,long_sports/sweats
